meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-07,00:00:00,2025-01-07 00:00:00,668375.33,0.65,0.65,0.65,0.65,5406.63,5406.63,38.7,15.26,12.3,8.43,60.23,71.17,60.95,42.77,404.59,407.93,396.44,409.56,228.07,231.94,236.2,229.07,60.23,71.17,60.95,42.77,0.9,49.41
KSR-2,2025-01-07,00:00:00,2025-01-07 00:00:00,412522.94,0.79,0.79,0.79,0.79,6763.29,6763.29,48.58,14.75,17.54,14.2,70.71,68.69,80.71,69.89,408.48,408.99,393.69,408.64,228.69,238.11,229.05,229.95,70.71,68.69,80.71,69.89,0.91,49.75
KSR-1,2025-01-07,00:01:00,2025-01-07 00:01:00,668375.99,0.66,0.66,1.31,1.31,5407.29,5407.29,40.12,15.46,12.63,8.83,56.24,70.55,60.05,44.25,404.03,399.08,404.52,401.89,235.92,229.25,237.11,229.89,56.24,70.55,60.05,44.25,0.92,49.07
KSR-2,2025-01-07,00:01:00,2025-01-07 00:01:00,412523.72,0.78,0.78,1.58,1.58,6764.07,6764.07,48.01,14.08,18.59,13.63,71.6,67.36,79.86,68.29,397.93,413.28,408.2,400.17,229.0,230.91,235.36,233.24,71.6,67.36,79.86,68.29,0.92,50.69
KSR-1,2025-01-07,00:02:00,2025-01-07 00:02:00,668376.64,0.65,0.65,1.96,1.96,5407.94,5407.94,37.57,14.97,13.33,8.17,57.43,69.22,61.54,44.67,400.85,409.49,405.55,406.74,228.96,233.17,231.77,229.93,57.43,69.22,61.54,44.67,0.92,49.12
KSR-2,2025-01-07,00:02:00,2025-01-07 00:02:00,412524.56,0.84,0.84,2.42,2.42,6764.91,6764.91,48.61,15.23,17.97,14.88,75.12,67.33,80.64,69.77,406.63,399.62,402.31,408.0,236.93,232.73,232.28,229.62,75.12,67.33,80.64,69.77,0.92,48.96
KSR-1,2025-01-07,00:03:00,2025-01-07 00:03:00,668377.3,0.66,0.66,2.62,2.62,5408.6,5408.6,38.47,15.97,12.77,8.51,56.81,71.69,61.26,45.63,402.46,405.46,400.09,400.37,230.51,231.78,229.35,234.49,56.81,71.69,61.26,45.63,0.9,49.45
KSR-2,2025-01-07,00:03:00,2025-01-07 00:03:00,412525.34,0.78,0.78,3.2,3.2,6765.69,6765.69,46.75,14.77,18.74,13.68,71.48,70.73,80.4,67.89,408.04,413.63,396.85,408.1,229.2,235.93,228.78,235.65,71.48,70.73,80.4,67.89,0.94,49.3
KSR-1,2025-01-07,00:04:00,2025-01-07 00:04:00,668377.96,0.67,0.67,3.29,3.29,5409.26,5409.26,40.04,15.3,12.52,7.91,57.83,71.08,59.68,45.49,404.41,412.06,397.23,407.75,231.19,237.5,233.85,229.7,57.83,71.08,59.68,45.49,0.89,50.0
KSR-2,2025-01-07,00:04:00,2025-01-07 00:04:00,412526.2,0.86,0.86,4.05,4.05,6766.55,6766.55,49.25,14.22,18.74,14.03,74.49,66.85,79.51,70.77,397.83,403.3,397.02,406.96,235.53,232.0,233.34,229.49,74.49,66.85,79.51,70.77,0.91,50.81
KSR-1,2025-01-07,00:05:00,2025-01-07 00:05:00,668378.53,0.57,0.57,3.86,3.86,5409.83,5409.83,35.13,14.84,13.38,8.37,56.64,73.21,62.76,44.03,411.4,399.94,399.22,406.41,227.59,238.08,233.89,237.3,56.64,73.21,62.76,44.03,0.91,49.86
KSR-2,2025-01-07,00:05:00,2025-01-07 00:05:00,412527.02,0.83,0.83,4.88,4.88,6767.37,6767.37,49.2,14.72,17.63,14.26,73.41,68.6,81.85,70.13,399.88,407.66,398.64,411.24,236.74,232.26,235.09,231.37,73.41,68.6,81.85,70.13,0.92,49.03
KSR-1,2025-01-07,00:06:00,2025-01-07 00:06:00,668379.18,0.65,0.65,4.51,4.51,5410.48,5410.48,38.02,16.61,13.08,8.71,55.44,68.44,60.68,43.68,410.22,412.64,401.15,410.48,233.88,233.64,231.01,230.5,55.44,68.44,60.68,43.68,0.91,49.36
KSR-2,2025-01-07,00:06:00,2025-01-07 00:06:00,412527.78,0.76,0.76,5.64,5.64,6768.13,6768.13,45.65,15.54,17.86,14.37,72.52,69.22,79.83,70.04,408.55,410.2,397.86,396.26,233.45,230.76,235.52,231.6,72.52,69.22,79.83,70.04,0.93,50.47
KSR-1,2025-01-07,00:07:00,2025-01-07 00:07:00,668379.81,0.63,0.63,5.14,5.14,5411.11,5411.11,38.8,15.15,13.45,8.04,57.35,67.68,61.35,43.13,397.53,399.05,399.74,401.07,227.86,228.91,233.06,235.39,57.35,67.68,61.35,43.13,0.9,49.56
KSR-2,2025-01-07,00:07:00,2025-01-07 00:07:00,412528.5,0.72,0.72,6.36,6.36,6768.85,6768.85,45.23,14.68,18.1,14.28,72.04,69.8,83.03,70.2,401.2,405.81,399.74,397.03,228.1,230.9,231.38,228.99,72.04,69.8,83.03,70.2,0.93,50.1
KSR-1,2025-01-07,00:08:00,2025-01-07 00:08:00,668380.4,0.59,0.59,5.72,5.72,5411.7,5411.7,36.38,14.85,13.12,8.31,60.34,67.78,60.81,43.14,400.09,408.43,401.55,399.33,231.17,235.05,230.78,236.4,60.34,67.78,60.81,43.14,0.91,50.41
KSR-2,2025-01-07,00:08:00,2025-01-07 00:08:00,412529.32,0.82,0.82,7.18,7.18,6769.67,6769.67,47.61,14.35,17.74,13.36,74.88,67.96,82.89,68.22,407.12,413.38,403.18,398.81,232.1,237.82,233.91,232.91,74.88,67.96,82.89,68.22,0.9,49.56
KSR-1,2025-01-07,00:09:00,2025-01-07 00:09:00,668381.09,0.69,0.69,6.41,6.41,5412.39,5412.39,40.73,15.61,12.89,8.86,59.34,69.68,61.08,45.32,397.94,397.84,398.95,396.07,229.0,228.93,235.89,232.92,59.34,69.68,61.08,45.32,0.91,49.04
KSR-2,2025-01-07,00:09:00,2025-01-07 00:09:00,412530.09,0.77,0.77,7.95,7.95,6770.44,6770.44,47.57,15.58,18.5,14.73,72.89,69.18,81.84,69.27,401.25,405.61,396.43,404.69,233.9,237.59,233.57,236.32,72.89,69.18,81.84,69.27,0.94,49.25
KSR-1,2025-01-07,00:10:00,2025-01-07 00:10:00,668381.72,0.63,0.63,7.05,7.05,5413.02,5413.02,39.08,16.38,12.99,8.78,56.94,72.06,61.37,44.68,411.47,400.43,395.81,395.47,231.58,237.15,236.55,234.46,56.94,72.06,61.37,44.68,0.89,50.0
KSR-2,2025-01-07,00:10:00,2025-01-07 00:10:00,412530.89,0.8,0.8,8.75,8.75,6771.24,6771.24,47.46,14.52,18.02,14.43,74.1,70.13,83.78,72.2,399.8,407.19,400.25,399.0,231.53,230.32,236.69,236.71,74.1,70.13,83.78,72.2,0.91,49.86
KSR-1,2025-01-07,00:11:00,2025-01-07 00:11:00,668382.34,0.62,0.62,7.67,7.67,5413.64,5413.64,36.7,16.27,13.45,8.73,56.8,70.8,58.92,42.06,397.14,412.87,401.84,398.04,230.91,236.62,232.98,229.1,56.8,70.8,58.92,42.06,0.9,49.19
KSR-2,2025-01-07,00:11:00,2025-01-07 00:11:00,412531.65,0.75,0.75,9.5,9.5,6772.0,6772.0,47.09,15.3,19.14,14.12,73.31,67.51,83.44,67.54,410.23,412.96,403.05,399.1,228.78,232.58,236.89,231.52,73.31,67.51,83.44,67.54,0.93,49.52
KSR-1,2025-01-07,00:12:00,2025-01-07 00:12:00,668382.96,0.61,0.61,8.28,8.28,5414.26,5414.26,35.56,14.78,13.31,8.4,59.33,70.53,60.03,42.36,400.91,400.92,407.54,397.08,236.82,230.93,232.1,235.92,59.33,70.53,60.03,42.36,0.92,50.62
KSR-2,2025-01-07,00:12:00,2025-01-07 00:12:00,412532.42,0.77,0.77,10.28,10.28,6772.77,6772.77,44.7,14.79,18.18,14.59,73.65,65.07,82.33,68.17,408.15,408.73,398.06,405.11,236.65,228.71,236.33,234.77,73.65,65.07,82.33,68.17,0.93,50.1
KSR-1,2025-01-07,00:13:00,2025-01-07 00:13:00,668383.55,0.59,0.59,8.87,8.87,5414.85,5414.85,37.02,15.17,13.35,9.04,59.02,68.64,60.61,44.49,410.2,408.65,400.95,396.33,233.46,232.44,229.73,236.29,59.02,68.64,60.61,44.49,0.9,50.24
KSR-2,2025-01-07,00:13:00,2025-01-07 00:13:00,412533.24,0.82,0.82,11.1,11.1,6773.59,6773.59,48.4,14.79,18.06,14.0,73.93,67.08,80.34,70.37,399.91,409.34,405.54,404.55,234.65,235.43,234.49,229.18,73.93,67.08,80.34,70.37,0.93,50.49
KSR-1,2025-01-07,00:14:00,2025-01-07 00:14:00,668384.19,0.64,0.64,9.51,9.51,5415.49,5415.49,40.36,15.92,12.29,8.07,57.03,69.44,61.77,42.82,407.59,396.74,402.58,404.49,233.26,238.39,228.56,236.09,57.03,69.44,61.77,42.82,0.9,50.84
KSR-2,2025-01-07,00:14:00,2025-01-07 00:14:00,412534.03,0.79,0.79,11.88,11.88,6774.38,6774.38,46.52,14.07,17.84,14.24,74.31,67.43,80.18,69.02,409.37,398.59,404.17,406.32,228.17,230.71,233.99,228.96,74.31,67.43,80.18,69.02,0.94,50.5
KSR-1,2025-01-07,00:15:00,2025-01-07 00:15:00,668384.79,0.61,0.61,10.12,10.12,5416.09,5416.09,36.14,16.19,12.71,8.44,56.69,69.95,61.36,45.62,396.03,412.09,409.34,404.47,232.08,235.64,236.68,232.54,56.69,69.95,61.36,45.62,0.89,50.21
