meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-06,00:00:00,2025-01-06 00:00:00,667473.96,0.63,0.63,0.63,0.63,4505.26,4505.26,38.59,15.74,13.44,7.92,60.37,70.34,61.48,42.72,399.86,412.06,400.05,404.1,235.39,230.62,232.21,227.48,60.37,70.34,61.48,42.72,0.92,50.61
KSR-2,2025-01-06,00:00:00,2025-01-06 00:00:00,411396.48,0.83,0.83,0.83,0.83,5636.83,5636.83,48.39,14.87,17.69,14.3,74.19,66.5,80.87,69.32,398.95,405.29,403.1,401.61,236.06,230.46,229.77,230.0,74.19,66.5,80.87,69.32,0.9,50.7
KSR-1,2025-01-06,00:01:00,2025-01-06 00:01:00,667474.64,0.68,0.68,1.31,1.31,4505.94,4505.94,39.02,15.14,13.34,8.72,55.94,72.33,62.54,42.35,400.39,403.96,408.53,406.83,230.68,230.75,234.46,228.89,55.94,72.33,62.54,42.35,0.92,49.76
KSR-2,2025-01-06,00:01:00,2025-01-06 00:01:00,411397.22,0.75,0.75,1.58,1.58,5637.57,5637.57,46.5,14.61,18.86,14.36,72.29,70.46,82.38,68.0,400.26,401.39,407.93,408.25,229.18,230.46,237.32,232.73,72.29,70.46,82.38,68.0,0.93,50.1
KSR-1,2025-01-06,00:02:00,2025-01-06 00:02:00,667475.27,0.63,0.63,1.94,1.94,4506.57,4506.57,36.75,15.26,12.88,8.48,57.33,71.78,61.2,44.78,402.34,409.2,400.01,407.17,235.2,229.44,236.29,234.87,57.33,71.78,61.2,44.78,0.91,49.18
KSR-2,2025-01-06,00:02:00,2025-01-06 00:02:00,411398.0,0.77,0.77,2.36,2.36,5638.35,5638.35,45.05,14.86,18.24,14.34,75.75,66.79,83.18,71.47,407.81,403.43,407.7,401.94,228.87,231.74,230.23,230.48,75.75,66.79,83.18,71.47,0.91,50.18
KSR-1,2025-01-06,00:03:00,2025-01-06 00:03:00,667475.94,0.67,0.67,2.61,2.61,4507.24,4507.24,39.42,15.27,12.6,8.0,55.84,69.43,62.13,42.91,397.59,398.76,404.65,405.45,234.56,236.46,229.5,231.52,55.84,69.43,62.13,42.91,0.9,49.9
KSR-2,2025-01-06,00:03:00,2025-01-06 00:03:00,411398.81,0.81,0.81,3.17,3.17,5639.16,5639.16,47.44,14.29,18.99,13.82,72.18,66.98,83.58,70.73,396.12,402.78,400.69,396.95,236.56,229.41,234.77,231.68,72.18,66.98,83.58,70.73,0.91,49.75
KSR-1,2025-01-06,00:04:00,2025-01-06 00:04:00,667476.6,0.66,0.66,3.26,3.26,4507.9,4507.9,39.18,15.99,12.67,8.79,56.59,68.04,63.17,42.82,408.69,404.49,396.22,397.19,231.37,230.6,232.69,231.25,56.59,68.04,63.17,42.82,0.9,50.14
KSR-2,2025-01-06,00:04:00,2025-01-06 00:04:00,411399.56,0.75,0.75,3.92,3.92,5639.91,5639.91,47.2,15.19,19.01,13.64,75.34,66.01,80.15,70.05,394.85,409.31,399.05,407.75,232.53,230.84,232.15,234.48,75.34,66.01,80.15,70.05,0.92,49.92
KSR-1,2025-01-06,00:05:00,2025-01-06 00:05:00,667477.21,0.61,0.61,3.87,3.87,4508.51,4508.51,38.43,16.22,12.87,8.56,57.47,73.46,59.35,42.12,404.73,400.86,397.85,400.87,232.69,237.0,228.71,231.91,57.47,73.46,59.35,42.12,0.9,49.78
KSR-2,2025-01-06,00:05:00,2025-01-06 00:05:00,411400.34,0.78,0.78,4.7,4.7,5640.69,5640.69,47.26,14.81,18.31,14.11,75.09,65.09,83.57,71.1,398.01,401.94,403.55,398.54,231.4,238.36,231.65,228.14,75.09,65.09,83.57,71.1,0.94,50.47
KSR-1,2025-01-06,00:06:00,2025-01-06 00:06:00,667477.82,0.61,0.61,4.49,4.49,4509.12,4509.12,36.08,15.41,12.95,8.18,60.72,71.95,59.8,45.54,400.72,410.01,397.54,406.8,230.06,231.13,236.93,230.6,60.72,71.95,59.8,45.54,0.89,50.87
KSR-2,2025-01-06,00:06:00,2025-01-06 00:06:00,411401.11,0.78,0.78,5.47,5.47,5641.46,5641.46,47.42,14.28,17.86,14.77,71.99,66.71,81.86,68.75,395.37,408.63,397.69,404.7,231.91,229.97,231.42,236.54,71.99,66.71,81.86,68.75,0.94,50.81
