meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-01,00:00:00,2025-01-01 00:00:00,662969.31,0.0,0.0,0.61,0.61,0.61,0.61,38.16,15.95,12.76,8.61,60.71,69.75,62.48,41.91,405.27,405.77,400.8,408.24,231.82,237.7,236.85,234.69,60.71,69.75,62.48,41.91,0.89,49.02
KSR-2,2025-01-01,00:00:00,2025-01-01 00:00:00,405760.41,0.0,0.0,0.76,0.76,0.76,0.76,47.91,14.22,18.15,13.56,74.35,68.94,81.75,69.67,408.86,409.65,403.22,399.34,236.6,228.09,235.77,235.77,74.35,68.94,81.75,69.67,0.91,49.97
KSR-1,2025-01-01,00:01:00,2025-01-01 00:01:00,662969.95,0.64,0.64,1.25,1.25,1.25,1.25,37.79,16.08,13.13,8.29,55.23,68.17,59.71,45.69,399.93,408.67,397.97,403.81,228.98,229.8,231.21,235.94,55.23,68.17,59.71,45.69,0.9,49.88
KSR-2,2025-01-01,00:01:00,2025-01-01 00:01:00,405761.19,0.78,0.78,1.54,1.54,1.54,1.54,46.03,14.44,18.66,14.39,72.65,66.64,83.83,71.07,401.52,398.62,407.21,395.62,229.51,229.64,231.96,232.67,72.65,66.64,83.83,71.07,0.9,50.07
KSR-1,2025-01-01,00:02:00,2025-01-01 00:02:00,662970.59,0.64,0.64,1.89,1.89,1.89,1.89,36.98,15.37,13.23,8.32,56.69,69.68,59.86,44.94,405.4,400.61,394.75,394.39,229.33,237.41,229.91,231.17,56.69,69.68,59.86,44.94,0.9,49.62
KSR-2,2025-01-01,00:02:00,2025-01-01 00:02:00,405761.93,0.73,0.73,2.28,2.28,2.28,2.28,45.6,14.15,17.79,13.66,71.27,69.29,84.18,69.87,407.47,405.77,406.98,401.65,232.64,230.99,236.91,231.09,71.27,69.29,84.18,69.87,0.93,49.91
KSR-1,2025-01-01,00:03:00,2025-01-01 00:03:00,662971.23,0.64,0.64,2.53,2.53,2.53,2.53,36.5,14.9,13.46,8.91,59.14,68.25,60.92,43.04,398.61,400.04,406.92,395.12,230.8,233.08,231.16,229.59,59.14,68.25,60.92,43.04,0.9,49.71
KSR-2,2025-01-01,00:03:00,2025-01-01 00:03:00,405762.66,0.73,0.73,3.01,3.01,3.01,3.01,45.88,14.17,18.13,14.56,71.49,66.19,83.92,67.54,403.03,399.59,396.23,398.95,234.26,234.77,229.54,228.13,71.49,66.19,83.92,67.54,0.91,50.78
KSR-1,2025-01-01,00:04:00,2025-01-01 00:04:00,662971.86,0.63,0.63,3.16,3.16,3.16,3.16,38.88,14.86,12.71,8.95,58.32,68.48,58.95,45.99,403.39,408.22,409.47,403.56,231.69,229.35,234.86,233.2,58.32,68.48,58.95,45.99,0.89,50.3
KSR-2,2025-01-01,00:04:00,2025-01-01 00:04:00,405763.42,0.76,0.76,3.77,3.77,3.77,3.77,47.38,14.31,17.99,13.98,70.84,67.1,83.15,68.85,411.86,412.3,399.83,402.31,235.75,229.61,234.04,231.29,70.84,67.1,83.15,68.85,0.93,49.17
KSR-1,2025-01-01,00:05:00,2025-01-01 00:05:00,662972.49,0.63,0.63,3.79,3.79,3.79,3.79,36.48,15.08,12.59,8.04,60.82,70.55,60.61,43.13,397.4,403.55,397.56,408.15,232.8,235.42,230.81,233.18,60.82,70.55,60.61,43.13,0.91,50.79
KSR-2,2025-01-01,00:05:00,2025-01-01 00:05:00,405764.23,0.82,0.82,4.58,4.58,4.58,4.58,48.23,14.83,18.18,13.87,73.26,69.39,82.57,70.62,396.94,399.2,408.68,400.63,233.54,234.0,230.05,236.35,73.26,69.39,82.57,70.62,0.9,49.63
KSR-1,2025-01-01,00:06:00,2025-01-01 00:06:00,662973.06,0.58,0.58,4.36,4.36,4.36,4.36,35.36,16.52,12.51,8.3,57.93,71.8,58.67,41.85,411.6,409.29,407.08,406.65,229.22,235.22,233.91,232.23,57.93,71.8,58.67,41.85,0.92,49.55
