meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-09,00:00:00,2025-01-09 00:00:00,670174.75,0.65,0.65,0.65,0.65,7206.05,7206.05,40.51,14.97,13.61,8.82,61.5,71.0,59.89,43.06,398.78,401.17,402.71,410.33,233.43,232.99,232.72,229.37,61.5,71.0,59.89,43.06,0.92,49.23
KSR-2,2025-01-09,00:00:00,2025-01-09 00:00:00,414779.12,0.84,0.84,0.84,0.84,9019.47,9019.47,47.9,14.31,18.2,15.04,72.2,69.96,80.2,69.36,403.96,412.79,404.42,394.71,228.51,231.7,236.52,230.95,72.2,69.96,80.2,69.36,0.9,49.66
KSR-1,2025-01-09,00:01:00,2025-01-09 00:01:00,670175.39,0.64,0.64,1.29,1.29,7206.69,7206.69,37.41,14.88,13.72,8.47,56.37,67.02,60.67,43.46,405.87,405.71,410.0,406.56,233.07,229.75,236.21,235.83,56.37,67.02,60.67,43.46,0.9,50.07
KSR-2,2025-01-09,00:01:00,2025-01-09 00:01:00,414779.93,0.81,0.81,1.65,1.65,9020.28,9020.28,48.11,15.48,18.13,13.82,73.61,67.83,81.16,67.12,402.8,399.39,391.88,404.01,230.08,229.9,235.12,234.63,73.61,67.83,81.16,67.12,0.91,49.55
KSR-1,2025-01-09,00:02:00,2025-01-09 00:02:00,670176.06,0.67,0.67,1.95,1.95,7207.36,7207.36,38.98,14.5,13.43,8.16,58.47,67.42,61.48,44.83,400.94,399.83,400.81,395.95,230.79,232.95,232.9,231.54,58.47,67.42,61.48,44.83,0.89,50.63
KSR-2,2025-01-09,00:02:00,2025-01-09 00:02:00,414780.68,0.75,0.75,2.4,2.4,9021.03,9021.03,46.22,14.93,17.63,14.21,73.5,67.0,77.86,70.24,395.43,413.0,397.51,409.34,231.95,235.87,232.56,235.41,73.5,67.0,77.86,70.24,0.94,49.5
KSR-1,2025-01-09,00:03:00,2025-01-09 00:03:00,670176.73,0.67,0.67,2.62,2.62,7208.03,7208.03,38.95,14.57,12.95,8.67,60.54,67.88,61.77,42.42,406.68,399.05,394.8,402.98,228.58,236.7,230.27,229.81,60.54,67.88,61.77,42.42,0.91,49.06
KSR-2,2025-01-09,00:03:00,2025-01-09 00:03:00,414781.52,0.85,0.85,3.24,3.24,9021.87,9021.87,48.93,14.04,18.53,14.91,71.15,70.21,78.85,69.53,408.84,413.01,393.8,400.21,234.25,235.61,234.65,233.54,71.15,70.21,78.85,69.53,0.92,49.59
KSR-1,2025-01-09,00:04:00,2025-01-09 00:04:00,670177.35,0.63,0.63,3.25,3.25,7208.65,7208.65,36.95,15.68,12.42,8.66,59.04,72.25,58.83,45.68,411.55,408.46,403.28,401.46,233.39,232.45,233.96,230.93,59.04,72.25,58.83,45.68,0.91,49.9
KSR-2,2025-01-09,00:04:00,2025-01-09 00:04:00,414782.31,0.78,0.78,4.03,4.03,9022.66,9022.66,46.63,15.36,17.72,15.09,77.04,68.49,81.13,70.08,400.25,401.21,396.67,398.85,235.98,237.78,235.7,229.2,77.04,68.49,81.13,70.08,0.92,49.15
KSR-1,2025-01-09,00:05:00,2025-01-09 00:05:00,670177.94,0.59,0.59,3.84,3.84,7209.24,7209.24,36.46,15.76,13.03,8.28,61.18,68.11,63.59,42.91,398.08,412.24,394.74,401.41,230.8,229.72,235.5,235.88,61.18,68.11,63.59,42.91,0.92,50.32
KSR-2,2025-01-09,00:05:00,2025-01-09 00:05:00,414783.13,0.82,0.82,4.85,4.85,9023.48,9023.48,49.17,14.9,17.72,13.51,70.15,69.96,82.55,69.47,397.86,409.78,406.22,397.59,236.67,233.53,232.3,228.98,70.15,69.96,82.55,69.47,0.93,49.96
KSR-1,2025-01-09,00:06:00,2025-01-09 00:06:00,670178.63,0.69,0.69,4.53,4.53,7209.93,7209.93,39.84,15.74,12.78,8.31,56.24,69.0,59.39,42.15,405.85,397.79,405.14,400.36,234.18,236.6,230.48,233.18,56.24,69.0,59.39,42.15,0.92,49.45
KSR-2,2025-01-09,00:06:00,2025-01-09 00:06:00,414783.89,0.76,0.76,5.61,5.61,9024.24,9024.24,46.13,14.91,18.23,15.12,73.2,71.2,77.74,66.3,406.69,407.8,404.5,403.52,229.36,233.61,235.77,231.93,73.2,71.2,77.74,66.3,0.94,50.68
KSR-1,2025-01-09,00:07:00,2025-01-09 00:07:00,670179.23,0.6,0.6,5.13,5.13,7210.53,7210.53,36.72,15.74,13.37,8.91,60.62,71.99,60.04,43.98,411.61,409.17,401.97,397.63,233.98,234.19,232.88,232.03,60.62,71.99,60.04,43.98,0.9,49.75
KSR-2,2025-01-09,00:07:00,2025-01-09 00:07:00,414784.63,0.75,0.75,6.36,6.36,9024.98,9024.98,45.47,14.61,18.63,14.86,72.9,68.3,82.7,69.14,395.08,411.64,405.5,405.65,232.42,234.85,236.66,232.84,72.9,68.3,82.7,69.14,0.94,50.44
KSR-1,2025-01-09,00:08:00,2025-01-09 00:08:00,670179.85,0.63,0.63,5.75,5.75,7211.15,7211.15,37.06,14.92,12.69,8.17,57.41,69.32,60.6,42.77,397.12,405.85,405.34,405.55,230.49,234.16,233.32,232.85,57.41,69.32,60.6,42.77,0.93,50.77
KSR-2,2025-01-09,00:08:00,2025-01-09 00:08:00,414785.43,0.79,0.79,7.15,7.15,9025.78,9025.78,48.05,14.36,17.63,14.47,72.21,69.62,78.17,69.8,409.38,401.99,398.94,401.71,233.32,231.57,236.12,232.57,72.21,69.62,78.17,69.8,0.9,50.18
KSR-1,2025-01-09,00:09:00,2025-01-09 00:09:00,670180.43,0.57,0.57,6.32,6.32,7211.73,7211.73,35.8,14.92,12.6,8.9,60.33,69.79,61.87,42.78,410.27,405.65,406.79,408.87,236.68,237.3,237.52,235.92,60.33,69.79,61.87,42.78,0.9,49.54
