meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-04,00:00:00,2025-01-04 00:00:00,665672.56,0.62,0.62,0.62,0.62,2703.86,2703.86,36.32,15.33,13.39,8.22,58.55,69.72,59.38,45.7,401.31,407.37,396.39,409.07,232.9,231.69,234.23,234.76,58.55,69.72,59.38,45.7,0.92,49.23
KSR-2,2025-01-04,00:00:00,2025-01-04 00:00:00,409138.6,0.76,0.76,0.76,0.76,3378.95,3378.95,44.97,13.94,18.26,13.67,74.13,68.59,78.91,67.46,397.47,407.24,394.75,405.03,236.37,231.08,230.74,235.0,74.13,68.59,78.91,67.46,0.93,49.92
KSR-1,2025-01-04,00:01:00,2025-01-04 00:01:00,665673.2,0.63,0.63,1.25,1.25,2704.5,2704.5,36.18,15.61,13.28,8.37,60.29,67.06,58.25,41.91,407.38,406.36,404.76,396.52,232.17,236.32,236.31,230.59,60.29,67.06,58.25,41.91,0.9,50.19
KSR-2,2025-01-04,00:01:00,2025-01-04 00:01:00,409139.37,0.77,0.77,1.53,1.53,3379.72,3379.72,46.64,14.94,18.08,13.84,75.08,69.99,78.82,70.67,395.75,411.02,404.78,398.92,232.66,236.14,235.1,227.42,75.08,69.99,78.82,70.67,0.9,50.61
KSR-1,2025-01-04,00:02:00,2025-01-04 00:02:00,665673.87,0.67,0.67,1.92,1.92,2705.17,2705.17,38.67,15.61,13.15,8.76,60.6,68.64,62.27,44.75,396.92,407.16,401.5,404.94,231.27,230.32,234.37,234.3,60.6,68.64,62.27,44.75,0.9,49.81
KSR-2,2025-01-04,00:02:00,2025-01-04 00:02:00,409140.15,0.78,0.78,2.31,2.31,3380.5,3380.5,47.62,14.37,17.71,14.78,76.09,70.73,79.71,67.3,396.85,410.75,399.18,408.37,228.83,234.14,236.12,233.71,76.09,70.73,79.71,67.3,0.93,50.78
KSR-1,2025-01-04,00:03:00,2025-01-04 00:03:00,665674.42,0.56,0.56,2.48,2.48,2705.72,2705.72,34.91,16.78,13.28,9.05,58.04,69.33,59.61,44.87,409.61,402.5,407.14,407.82,233.05,235.57,234.37,230.74,58.04,69.33,59.61,44.87,0.9,49.08
KSR-2,2025-01-04,00:03:00,2025-01-04 00:03:00,409140.92,0.77,0.77,3.08,3.08,3381.27,3381.27,48.34,14.02,18.18,13.47,74.35,67.81,77.61,69.02,403.04,408.47,406.27,402.64,230.85,234.36,236.93,230.26,74.35,67.81,77.61,69.02,0.93,50.49
KSR-1,2025-01-04,00:04:00,2025-01-04 00:04:00,665675.07,0.65,0.65,3.13,3.13,2706.37,2706.37,38.58,15.18,13.14,8.65,58.25,67.98,59.76,41.55,396.82,408.22,397.76,395.09,232.14,229.85,229.43,233.71,58.25,67.98,59.76,41.55,0.93,49.3
KSR-2,2025-01-04,00:04:00,2025-01-04 00:04:00,409141.7,0.78,0.78,3.86,3.86,3382.05,3382.05,48.45,14.55,18.07,15.1,74.26,67.09,77.88,68.33,398.47,400.11,407.97,395.54,229.43,234.91,231.29,229.28,74.26,67.09,77.88,68.33,0.93,49.01
