meter_id,date,time,timestamp,total_active_energy_kwh,energy_consumed_kwh,units_consumed_now,todays_consumption_kwh,today_units_consumed,monthly_consumption_kwh,monthly_units_consumed,total_active_power_kw,p1_active_kw,p2_active_kw,p3_active_kw,percent_average_load,percent_load_l1,percent_load_l2,percent_load_l3,vll_avg,v12,v23,v31,vln_avg,v1_n,v2_n,v3_n,iavg,i1,i2,i3,pf_avg,frequency_hz
KSR-1,2025-01-08,00:00:00,2025-01-08 00:00:00,669274.97,0.59,0.59,0.59,0.59,6306.27,6306.27,36.48,14.49,13.35,9.07,56.46,71.22,60.43,46.1,410.29,399.7,403.03,409.58,232.68,235.48,232.02,229.35,56.46,71.22,60.43,46.1,0.89,50.61
KSR-2,2025-01-08,00:00:00,2025-01-08 00:00:00,413651.67,0.76,0.76,0.76,0.76,7892.02,7892.02,47.94,15.61,17.88,14.2,73.36,69.77,81.51,68.75,403.03,406.0,397.14,408.02,235.01,235.04,236.51,234.82,73.36,69.77,81.51,68.75,0.95,50.38
KSR-1,2025-01-08,00:01:00,2025-01-08 00:01:00,669275.61,0.64,0.64,1.22,1.22,6306.91,6306.91,36.88,15.23,12.65,8.39,57.75,71.52,60.84,42.56,403.21,400.14,406.13,404.17,237.32,234.11,229.58,228.13,57.75,71.52,60.84,42.56,0.91,49.66
KSR-2,2025-01-08,00:01:00,2025-01-08 00:01:00,413652.48,0.8,0.8,1.57,1.57,7892.83,7892.83,47.65,14.36,18.36,13.87,73.51,70.44,80.68,69.75,406.15,404.5,402.14,409.75,233.97,231.54,234.94,232.12,73.51,70.44,80.68,69.75,0.92,49.38
KSR-1,2025-01-08,00:02:00,2025-01-08 00:02:00,669276.24,0.64,0.64,1.86,1.86,6307.54,6307.54,36.74,16.37,13.12,8.51,59.2,68.77,61.12,46.25,402.49,406.27,400.45,408.6,230.68,235.11,228.2,231.94,59.2,68.77,61.12,46.25,0.9,50.42
KSR-2,2025-01-08,00:02:00,2025-01-08 00:02:00,413653.28,0.8,0.8,2.36,2.36,7893.63,7893.63,46.7,14.73,17.77,14.21,72.63,67.79,78.94,68.8,405.46,407.33,397.27,396.37,232.66,233.02,229.8,233.75,72.63,67.79,78.94,68.8,0.9,49.45
KSR-1,2025-01-08,00:03:00,2025-01-08 00:03:00,669276.9,0.65,0.65,2.51,2.51,6308.2,6308.2,39.2,14.39,13.42,8.72,57.37,68.81,59.26,45.28,401.96,410.24,406.15,394.95,236.51,234.21,230.91,236.52,57.37,68.81,59.26,45.28,0.91,50.77
KSR-2,2025-01-08,00:03:00,2025-01-08 00:03:00,413654.02,0.75,0.75,3.11,3.11,7894.37,7894.37,45.27,14.8,17.79,13.78,75.7,69.1,84.58,71.64,410.07,408.52,403.59,409.0,229.58,229.62,229.64,230.35,75.7,69.1,84.58,71.64,0.93,49.49
KSR-1,2025-01-08,00:04:00,2025-01-08 00:04:00,669277.56,0.67,0.67,3.18,3.18,6308.86,6308.86,38.77,15.25,13.02,8.64,56.98,71.53,59.07,42.37,399.37,403.83,406.82,402.29,230.33,230.93,235.09,230.22,56.98,71.53,59.07,42.37,0.89,50.64
KSR-2,2025-01-08,00:04:00,2025-01-08 00:04:00,413654.74,0.72,0.72,3.83,3.83,7895.09,7895.09,45.03,14.13,18.73,15.06,72.48,68.04,78.87,70.92,410.12,409.32,405.46,405.34,230.08,230.14,236.38,230.05,72.48,68.04,78.87,70.92,0.89,50.51
KSR-1,2025-01-08,00:05:00,2025-01-08 00:05:00,669278.23,0.66,0.66,3.84,3.84,6309.53,6309.53,38.95,16.28,13.2,8.84,58.9,69.53,61.17,43.13,400.2,410.02,409.45,409.14,229.66,229.03,237.55,237.18,58.9,69.53,61.17,43.13,0.9,50.06
KSR-2,2025-01-08,00:05:00,2025-01-08 00:05:00,413655.54,0.79,0.79,4.63,4.63,7895.89,7895.89,46.58,14.55,17.88,14.84,73.01,67.38,84.56,66.84,405.48,406.19,394.96,396.37,228.97,237.96,235.93,234.25,73.01,67.38,84.56,66.84,0.94,50.64
KSR-1,2025-01-08,00:06:00,2025-01-08 00:06:00,669278.9,0.67,0.67,4.51,4.51,6310.2,6310.2,38.56,16.2,13.18,9.02,57.3,69.81,60.15,43.07,402.35,407.01,402.12,398.14,234.33,231.84,228.78,228.22,57.3,69.81,60.15,43.07,0.92,49.54
KSR-2,2025-01-08,00:06:00,2025-01-08 00:06:00,413656.3,0.76,0.76,5.39,5.39,7896.65,7896.65,48.05,14.9,18.18,15.03,72.87,70.3,83.6,70.94,405.48,406.84,397.9,398.26,235.88,232.43,233.16,233.18,72.87,70.3,83.6,70.94,0.89,48.98
KSR-1,2025-01-08,00:07:00,2025-01-08 00:07:00,669279.52,0.62,0.62,5.14,5.14,6310.82,6310.82,37.42,15.04,12.8,8.91,58.63,69.75,60.88,43.08,406.61,402.41,397.07,400.39,232.55,231.1,234.59,231.36,58.63,69.75,60.88,43.08,0.92,49.43
KSR-2,2025-01-08,00:07:00,2025-01-08 00:07:00,413657.06,0.75,0.75,6.15,6.15,7897.41,7897.41,45.26,14.12,18.22,14.31,73.16,67.34,79.95,68.53,396.16,408.61,404.69,395.83,232.76,233.92,229.23,230.37,73.16,67.34,79.95,68.53,0.91,50.64
KSR-1,2025-01-08,00:08:00,2025-01-08 00:08:00,669280.1,0.57,0.57,5.71,5.71,6311.4,6311.4,36.11,16.63,12.78,8.25,56.41,69.91,61.48,43.87,401.58,408.9,406.84,407.07,228.14,237.96,236.94,233.78,56.41,69.91,61.48,43.87,0.89,50.56
KSR-2,2025-01-08,00:08:00,2025-01-08 00:08:00,413657.79,0.74,0.74,6.88,6.88,7898.14,7898.14,46.18,14.13,17.82,14.57,73.62,65.21,81.46,67.42,398.41,403.21,392.97,406.08,229.96,237.73,228.59,230.05,73.62,65.21,81.46,67.42,0.93,49.38
KSR-1,2025-01-08,00:09:00,2025-01-08 00:09:00,669280.68,0.58,0.58,6.3,6.3,6311.98,6311.98,35.58,16.07,13.22,8.27,57.78,70.76,58.18,44.6,402.76,413.0,399.36,401.86,232.84,231.83,233.57,229.84,57.78,70.76,58.18,44.6,0.92,49.25
KSR-2,2025-01-08,00:09:00,2025-01-08 00:09:00,413658.63,0.83,0.83,7.72,7.72,7898.98,7898.98,48.11,15.31,18.44,13.73,77.08,66.87,81.91,67.65,400.55,406.55,407.9,396.76,229.9,235.78,234.49,232.54,77.08,66.87,81.91,67.65,0.9,49.74
KSR-1,2025-01-08,00:10:00,2025-01-08 00:10:00,669281.27,0.58,0.58,6.88,6.88,6312.57,6312.57,36.23,14.69,12.71,8.26,57.42,71.33,61.12,42.49,394.8,409.64,395.48,410.5,233.52,234.13,237.77,231.34,57.42,71.33,61.12,42.49,0.91,50.73
KSR-2,2025-01-08,00:10:00,2025-01-08 00:10:00,413659.41,0.78,0.78,8.5,8.5,7899.76,7899.76,44.87,14.88,17.88,13.9,72.64,67.36,81.01,67.48,404.39,413.45,392.45,398.37,235.13,234.11,228.51,232.02,72.64,67.36,81.01,67.48,0.91,50.64
KSR-1,2025-01-08,00:11:00,2025-01-08 00:11:00,669281.9,0.63,0.63,7.51,7.51,6313.2,6313.2,38.27,14.78,12.8,8.47,59.0,73.15,59.78,44.08,409.02,407.44,398.11,402.29,233.57,232.15,232.83,227.15,59.0,73.15,59.78,44.08,0.92,49.32
KSR-2,2025-01-08,00:11:00,2025-01-08 00:11:00,413660.21,0.8,0.8,9.3,9.3,7900.56,7900.56,46.5,14.17,18.53,13.55,73.33,67.2,80.63,70.73,397.06,400.96,395.65,410.31,232.85,230.89,228.2,230.18,73.33,67.2,80.63,70.73,0.93,49.52
KSR-1,2025-01-08,00:12:00,2025-01-08 00:12:00,669282.47,0.57,0.57,8.08,8.08,6313.77,6313.77,35.1,15.45,13.32,8.21,57.44,73.19,58.2,43.7,409.1,406.99,404.25,409.18,234.83,233.39,232.52,228.47,57.44,73.19,58.2,43.7,0.93,49.97
